x,y,z
-58.1526,-7.31013,-1502.5
-65.0634,-6.24908,-1502.5
-94.7731,-4.42445,-1502.5
-69.3137,-11.7495,-1502.5
-70.8298,-8.2577,-1502.5
-79.9924,2.05796,-1502.5
-64.9976,-2.78323,-1502.5
-58.2375,-0.49578999999999995,-1502.5
-74.8062,-7.918639999999999,-1502.5
-36.7643,-3.77112,-1502.5
-64.1719,-9.89035,-1502.5
-83.7874,-9.22733,-1502.5
-85.6114,-5.40867,-1502.5
-85.3255,-6.8908,-1502.5
-83.9783,-13.2547,-1502.5
-57.265,1.48662,-1502.5
-58.2089,-12.33,-1502.5
-175.24,-11.3803,-1502.0
-163.72299999999998,-14.9522,-1502.0
-116.682,-6.22044,-1502.0
-129.47899999999998,-12.1678,-1502.0
-137.446,-5.47858,-1502.0
-105.818,-9.97268,-1502.0
-126.66,-3.7285699999999995,-1502.0
-108.941,-2.10851,-1502.0
-106.617,-3.0522099999999996,-1502.0
-135.295,-0.27369299999999996,-1502.0
-152.675,-14.9615,-1498.0
-141.969,-26.3415,-1498.0
-133.155,-20.7199,-1498.0
-129.121,-12.1807,-1498.0
-109.588,-16.2208,-1498.0
-163.297,-14.8277,-1498.0
-133.534,-18.6524,-1498.0
-113.119,-17.1172,-1498.0
-104.527,-21.2195,-1498.0
-119.43799999999999,-13.8429,-1498.0
-110.76700000000001,-14.6183,-1498.0
-105.544,-9.90147,-1498.0
-130.039,-23.9201,-1498.0
-54.1457,-20.480999999999998,-1498.0
-63.9817,-9.832930000000001,-1498.0
-57.2297,-20.1266,-1498.0
-58.0079,-12.3067,-1498.0
-57.9368,-7.301839999999999,-1498.0
-94.8333,-23.9244,-1498.0
-49.8121,-18.515,-1498.0
-69.0808,-11.7256,-1498.0
-68.7846,-16.7451,-1498.0
-97.8405,-28.5133,-1498.0
-89.5983,-27.5012,-1498.0
-83.7022,-13.2305,-1498.0
-96.1983,-18.2873,-1498.0
-69.811,-19.7682,-1498.0
-56.9341,-16.7796,-1498.0
-62.0838,-15.1364,-1498.0
-74.5482,-16.1234,-1498.0
-129.588,-32.5995,-1502.0
-101.74,-21.7974,-1502.0
-106.306,-17.3326,-1502.0
-171.28799999999998,-36.1518,-1502.0
-104.569,-33.0439,-1502.0
-115.56,-35.2694,-1502.0
-119.291,-23.4491,-1502.0
-163.786,-47.0813,-1502.0
-142.341,-26.3644,-1502.0
-106.042,-33.2361,-1502.0
-109.73200000000001,-23.9339,-1502.0
-64.021,-29.7385,-1502.0
-59.8745,-29.1034,-1502.0
-69.9274,-37.3805,-1502.0
-54.3209,-20.5251,-1502.0
-66.6072,-24.9648,-1502.0
-48.9344,-26.033,-1502.0
-51.5904,-27.9991,-1502.0
-66.0324,-24.6726,-1502.0
-56.3984,-30.8565,-1502.0
-92.774,-37.3787,-1502.0
-64.9827,-25.2119,-1502.0
-49.2851,-29.1549,-1502.0
-30.1417,-21.2795,-1502.0
-76.5264,-36.0008,-1502.0
-66.9605,-33.9326,-1502.0
-57.0632,-16.8444,-1502.0
-54.4125,-26.6244,-1502.0
-57.3894,-20.1725,-1502.0
-55.2242,-23.93,-1502.0
-56.4937,-30.7337,-1502.0
-93.9868,-36.6213,-1502.0
-122.456,-43.548,-1498.0
-128.222,-51.1665,-1498.0
-120.633,-43.3589,-1498.0
-126.08200000000001,-41.4411,-1498.0
-105.78,-33.16,-1498.0
-148.252,-46.9206,-1498.0
-100.426,-36.7443,-1498.0
-104.291,-32.9246,-1498.0
-108.01899999999999,-30.1923,-1498.0
-115.266,-35.1263,-1498.0
-153.18200000000002,-47.4656,-1498.0
-100.729,-36.7969,-1502.0
-108.736,-50.3891,-1502.0
-139.46200000000002,-56.2494,-1502.0
-95.5612,-45.2279,-1502.0
-100.53399999999999,-45.4558,-1502.0
-152.164,-61.9124,-1502.0
-128.996,-51.4095,-1502.0
-111.795,-49.335,-1502.0
-103.469,-46.6214,-1502.0
-59.703,-28.991999999999997,-1497.5
-66.7625,-33.7872,-1497.5
-49.8046,-35.2996,-1497.5
-45.416000000000004,-35.8941,-1497.5
-49.1296,-29.0804,-1497.5
-81.3408,-45.6528,-1497.5
-58.5684,-43.4131,-1497.5
-57.4004,-40.7752,-1497.5
-51.4579,-27.927,-1497.5
-55.0148,-23.8907,-1497.5
-59.2182,-34.1485,-1497.5
-85.1631,-46.8224,-1497.5
-54.2567,-26.5341,-1497.5
-48.8052,-25.9496,-1497.5
-75.8321,-52.2462,-1497.5
-56.6034,-41.7529,-1497.5
-69.732,-37.3075,-1497.5
-60.3046,-40.8544,-1497.5
-64.1079,-47.7004,-1497.5
-30.0478,-21.1401,-1497.5
-63.8267,-29.6425,-1497.5
-55.673,-38.4266,-1497.5
-56.2044,-30.776999999999997,-1497.5
-56.3569,-30.6359,-1497.5
-66.5157,-43.1945,-1497.5
-100.969,-62.4492,-1498.0
-126.837,-79.2091,-1498.0
-93.4209,-53.7234,-1498.0
-102.277,-49.8569,-1498.0
